file,base,channel,projection,label,area,mean_intensity,eccentricity,solidity,centroid-0,centroid-1
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,23,514.0,0.24199815094470978,0.7728325424993665,0.41959183673469386,292.863813229572,388.7003891050584
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,24,261.0,0.23353219032287598,0.9430136171349135,0.6492537313432836,288.02681992337165,615.7662835249042
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,25,239.0,0.2475752979516983,0.8203045200035403,0.5650118203309693,315.55648535564853,743.0251046025105
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,26,497.0,0.312369704246521,0.8885347730569667,0.6315120711562897,351.3058350100604,1014.4728370221328
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,27,2342.0,0.3015410900115967,0.8969716342367826,0.4355588618188581,369.4415029888984,744.9530315969257
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,28,280.0,0.2871657609939575,0.8521858879020965,0.5882352941176471,358.4892857142857,261.7
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,29,209.0,0.23800945281982422,0.9321709657382002,0.5372750642673522,355.79425837320576,677.2631578947369
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,30,2687.0,0.4363585412502289,0.9195811228083242,0.642976788705432,403.92631187197617,125.10011164867882
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,31,235.0,0.28287607431411743,0.7255093053811225,0.7833333333333333,383.0085106382979,1013.3148936170213
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,32,212.0,0.26077455282211304,0.7526939273494171,0.6091954022988506,390.9009433962264,325.16037735849056
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,33,725.0,0.2738916575908661,0.695373829481736,0.5865695792880259,416.7006896551724,820.9227586206897
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,34,779.0,0.2506886422634125,0.9073235689710867,0.45343422584400467,430.77278562259306,294.49037227214376
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,35,272.0,0.2898106276988983,0.8796335916286502,0.6445497630331753,427.29411764705884,223.27205882352942
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,36,413.0,0.2884039580821991,0.7897816210517395,0.7428057553956835,426.17917675544794,754.409200968523
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,37,298.0,0.35168957710266113,0.9491801567374275,0.8922155688622755,450.9496644295302,4.087248322147651
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,38,981.0,0.33415380120277405,0.6897050076466797,0.7272053372868792,468.0224260958206,78.6809378185525
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,39,814.0,0.2718299925327301,0.9432007043405756,0.48830233953209357,463.6793611793612,312.2137592137592
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,40,204.0,0.2662758529186249,0.9234958655686034,0.6394984326018809,485.4117647058824,260.37745098039215
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,41,377.0,0.24510306119918823,0.8853298608113749,0.46600741656365885,501.49602122015915,587.1432360742706
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,42,335.0,0.262188583612442,0.9525784301125041,0.5950266429840142,505.42985074626864,344.8
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,43,1414.0,0.27740880846977234,0.6562987683398713,0.5446841294298922,545.6159830268741,266.82461103253183
RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032.nd2,RMC1 L152WT MOC EEA CD63 H PH 60OIL 0000.032,488,max,44,312.0,0.25267210602760315,0.9578505212833915,0.5954198473282443,608.0929487179487,217.90064102564102
