file,base,channel,projection,label,area,mean_intensity,eccentricity,solidity,centroid-0,centroid-1
example raw data.nd2,example raw data,488,max,1,2487.0,0.41856855154037476,0.9427887927508841,0.40999010880316517,92.41495778045838,211.58946521913953
example raw data.nd2,example raw data,488,max,2,931.0,0.27696043252944946,0.7393972837088725,0.45952615992102663,92.79484425349087,419.28678839957036
example raw data.nd2,example raw data,488,max,3,1019.0,0.3191691040992737,0.7955320607281099,0.9106344950848972,110.70755642787046,125.82924435721296
example raw data.nd2,example raw data,488,max,4,11757.0,0.32202523946762085,0.7395277229484675,0.5179295154185022,175.3744152419835,376.33426894615974
example raw data.nd2,example raw data,488,max,5,646.0,0.2704474627971649,0.700006928129779,0.7681331747919143,179.71362229102166,83.78792569659443
example raw data.nd2,example raw data,488,max,6,1550.0,0.2276931256055832,0.8900522130621881,0.6357670221493027,255.46516129032258,35.02451612903226
example raw data.nd2,example raw data,488,max,7,2290.0,0.2266639918088913,0.9670739969772983,0.4845535336436733,359.2292576419214,48.519213973799125
example raw data.nd2,example raw data,488,max,8,469.0,0.19687829911708832,0.8088790812109085,0.6179183135704874,399.56716417910445,313.4861407249467
example raw data.nd2,example raw data,488,max,9,701.0,0.22780771553516388,0.7383908196226874,0.6682554814108675,411.8402282453638,124.6904422253923
example raw data.nd2,example raw data,488,max,10,1316.0,0.23939043283462524,0.8143536091501559,0.6275631855030996,468.07370820668694,476.18237082066867
example raw data.nd2,example raw data,488,max,11,1111.0,0.3533937335014343,0.8892538949706613,0.9383445945945946,474.35283528352835,10.34023402340234
example raw data.nd2,example raw data,488,max,12,693.0,0.2277107834815979,0.6744901613689229,0.7590361445783133,498.2049062049062,130.1933621933622
example raw data.nd2,example raw data,488,max,13,248.0,0.27272480726242065,0.8415963884513361,0.7251461988304093,503.39112903225805,497.2096774193548
